timestep,actual_temp,controlled_temp,actual_load,predicted_temp,action,effective_load
30,39.41,39.41,10.78,41.978905,none,10.78
31,39.3,39.3,11.54,42.19376,none,11.54
32,39.55,39.55,11.08,41.3546,none,11.08
33,40.07,40.07,13.58,41.824245,none,13.58
34,39.73,39.73,11.14,42.673504,none,11.14
35,39.32,39.32,10.79,42.51541,none,10.79
36,40.21,40.21,10.97,43.89286,none,10.97
37,39.1,39.1,11.5,42.81666,none,11.5
38,39.77,39.77,10.71,42.360363,none,10.71
39,39.08,39.08,11.22,43.767017,none,11.22
40,39.8,39.8,11.85,42.652905,none,11.85
41,39.58,39.58,11.53,41.547806,none,11.53
42,40.14,40.14,12.66,41.027336,none,12.66
43,40.0,40.0,11.28,42.049473,none,11.28
44,39.48,39.48,11.42,41.417553,none,11.42
45,39.41,39.41,11.99,41.038193,none,11.99
46,39.6,39.6,14.36,40.59378,none,14.36
47,40.48,40.48,10.72,40.604748,none,10.72
48,40.38,40.38,13.97,40.391365,none,13.97
49,39.35,39.35,10.24,40.16791,none,10.24
50,40.06,40.06,11.94,39.95537,none,11.94
51,39.04,39.04,11.26,39.896263,none,11.26
52,39.56,39.56,10.69,39.883827,none,10.69
53,39.37,39.37,12.5,39.769344,none,12.5
54,40.17,40.17,12.38,39.504704,none,12.38
55,39.23,39.23,11.09,39.378296,none,11.09
56,39.91,39.91,9.15,39.5385,none,9.15
57,39.74,39.74,11.16,39.293015,none,11.16
58,39.67,39.67,11.83,39.333317,none,11.83
59,40.41,40.41,11.67,39.36632,none,11.67
60,40.45,40.45,12.57,39.406963,none,12.57
61,39.69,39.69,13.98,39.42861,none,13.98
62,39.61,39.61,12.16,40.45264,none,12.16
63,39.14,39.14,12.35,41.24716,none,12.35
64,39.74,39.74,11.84,41.001568,none,11.84
65,40.53,40.53,13.07,40.398155,none,13.07
66,39.7,39.7,12.3,40.620747,none,12.3
67,40.04,40.04,12.56,41.236332,none,12.56
68,39.19,39.19,13.84,41.20231,none,13.84
69,39.57,39.57,11.94,41.03595,none,11.94
70,39.93,39.93,11.34,40.84578,none,11.34
71,39.79,39.79,12.2,40.721912,none,12.2
72,40.08,40.08,13.03,41.79328,none,13.03
73,39.51,39.51,12.27,42.95277,none,12.27
74,39.05,39.05,12.94,41.737648,none,12.94
75,40.2,40.2,10.86,41.62304,none,10.86
76,39.37,39.37,10.62,43.138683,none,10.62
77,39.95,39.95,11.01,43.58992,none,11.01
78,39.93,39.93,10.14,42.43165,none,10.14
79,39.08,39.08,11.8,41.593563,none,11.8
80,40.17,40.17,11.15,42.734783,none,11.15
81,39.52,39.52,13.14,44.21343,none,13.14
82,40.55,40.55,19.29,44.807602,none,19.29
83,41.88,41.88,31.89,48.695095,none,31.89
84,44.78,44.78,38.02,58.358784,none,38.02
85,47.36,47.36,46.89,65.332466,none,46.89
86,49.29,49.29,56.56,67.9324,none,56.56
87,53.71,53.71,59.89,70.64372,soft_throttle,44.917500000000004
88,54.04666666666667,54.04666666666667,57.5,68.48486,none,57.5
89,57.36333333333333,57.36333333333333,58.19,64.02347,none,58.19
90,58.35,58.35,57.33,62.50066,none,57.33
91,60.026666666666664,60.026666666666664,57.44,65.649796,none,57.44
92,61.56333333333333,61.56333333333333,56.94,69.42356,none,56.94
93,62.82,62.82,57.61,67.65603,none,57.61
94,65.15666666666667,65.15666666666667,58.14,66.015396,none,58.14
95,65.14333333333333,65.14333333333333,59.57,66.54144,none,59.57
96,65.94999999999999,65.94999999999999,55.3,66.96454,none,55.3
97,66.90666666666667,66.90666666666667,59.48,66.6137,none,59.48
98,67.20333333333333,67.20333333333333,58.18,67.30921,none,58.18
99,68.85,68.85,57.11,66.16846,none,57.11
100,68.18666666666665,68.18666666666665,56.89,65.40455,none,56.89
101,69.02333333333334,69.02333333333334,58.8,64.46182,none,58.8
102,70.09,70.09,57.83,65.42333,none,57.83
103,70.06,70.06,55.71,67.070885,none,55.71
104,70.55,70.55,57.99,65.940895,none,57.99
105,71.2,71.2,58.92,65.694244,none,58.92
106,71.21,71.21,58.58,65.112045,none,58.58
107,71.06,71.06,56.8,66.53481,none,56.8
108,72.01,72.01,55.94,64.49125,none,55.94
109,71.07,71.07,57.16,66.10631,none,57.16
110,71.41,71.41,61.46,67.34477,none,61.46
111,71.55,71.55,55.7,69.35275,none,55.7
112,71.62,71.62,56.54,69.39771,none,56.54
113,71.32,71.32,58.02,69.18474,none,58.02
114,71.19,71.19,57.4,70.97116,soft_throttle,43.05
115,71.12666666666667,71.12666666666667,57.31,69.02922,none,57.31
116,70.82333333333334,70.82333333333334,59.98,69.04462,none,59.98
117,71.96000000000001,71.96000000000001,56.53,72.49813,soft_throttle,42.3975
118,70.34333333333333,70.34333333333333,57.53,71.59512,soft_throttle,43.1475
119,69.51333333333334,69.51333333333334,57.79,69.9842,none,57.79
120,70.28333333333335,70.28333333333335,56.59,69.60801,none,56.59
121,70.24333333333334,70.24333333333334,55.82,70.24976,soft_throttle,41.865
122,69.29999999999998,69.29999999999998,57.87,70.38072,soft_throttle,43.402499999999996
123,68.47333333333333,68.47333333333333,59.73,71.686714,soft_throttle,44.7975
124,69.61333333333336,69.61333333333336,58.04,73.266014,soft_throttle,43.53
125,68.22,68.22,62.38,71.76724,soft_throttle,46.785000000000004
126,68.88333333333333,68.88333333333333,67.1,73.158134,soft_throttle,50.324999999999996
127,68.82333333333334,68.82333333333334,71.41,79.55166,hard_throttle,35.705
128,69.22666666666669,69.22666666666669,77.86,81.86077,hard_throttle,38.93
129,70.92333333333335,70.92333333333335,80.56,82.634186,hard_throttle,40.28
130,71.10666666666667,71.10666666666667,79.54,84.76543,hard_throttle,39.77
