timestep,actual_temp,controlled_temp,actual_load,predicted_temp,action,effective_load
30,39.41,39.41,10.78,39.41,none,10.78
31,39.3,39.3,11.54,39.3,none,11.54
32,39.55,39.55,11.08,39.55,none,11.08
33,40.07,40.07,13.58,40.07,none,13.58
34,39.73,39.73,11.14,39.73,none,11.14
35,39.32,39.32,10.79,39.32,none,10.79
36,40.21,40.21,10.97,40.21,none,10.97
37,39.1,39.1,11.5,39.1,none,11.5
38,39.77,39.77,10.71,39.77,none,10.71
39,39.08,39.08,11.22,39.08,none,11.22
40,39.8,39.8,11.85,39.8,none,11.85
41,39.58,39.58,11.53,39.58,none,11.53
42,40.14,40.14,12.66,40.14,none,12.66
43,40.0,40.0,11.28,40.0,none,11.28
44,39.48,39.48,11.42,39.48,none,11.42
45,39.41,39.41,11.99,39.41,none,11.99
46,39.6,39.6,14.36,39.6,none,14.36
47,40.48,40.48,10.72,40.48,none,10.72
48,40.38,40.38,13.97,40.38,none,13.97
49,39.35,39.35,10.24,39.35,none,10.24
50,40.06,40.06,11.94,40.06,none,11.94
51,39.04,39.04,11.26,39.04,none,11.26
52,39.56,39.56,10.69,39.56,none,10.69
53,39.37,39.37,12.5,39.37,none,12.5
54,40.17,40.17,12.38,40.17,none,12.38
55,39.23,39.23,11.09,39.23,none,11.09
56,39.91,39.91,9.15,39.91,none,9.15
57,39.74,39.74,11.16,39.74,none,11.16
58,39.67,39.67,11.83,39.67,none,11.83
59,40.41,40.41,11.67,40.41,none,11.67
60,40.45,40.45,12.57,40.45,none,12.57
61,39.69,39.69,13.98,39.69,none,13.98
62,39.61,39.61,12.16,39.61,none,12.16
63,39.14,39.14,12.35,39.14,none,12.35
64,39.74,39.74,11.84,39.74,none,11.84
65,40.53,40.53,13.07,40.53,none,13.07
66,39.7,39.7,12.3,39.7,none,12.3
67,40.04,40.04,12.56,40.04,none,12.56
68,39.19,39.19,13.84,39.19,none,13.84
69,39.57,39.57,11.94,39.57,none,11.94
70,39.93,39.93,11.34,39.93,none,11.34
71,39.79,39.79,12.2,39.79,none,12.2
72,40.08,40.08,13.03,40.08,none,13.03
73,39.51,39.51,12.27,39.51,none,12.27
74,39.05,39.05,12.94,39.05,none,12.94
75,40.2,40.2,10.86,40.2,none,10.86
76,39.37,39.37,10.62,39.37,none,10.62
77,39.95,39.95,11.01,39.95,none,11.01
78,39.93,39.93,10.14,39.93,none,10.14
79,39.08,39.08,11.8,39.08,none,11.8
80,40.17,40.17,11.15,40.17,none,11.15
81,39.52,39.52,13.14,39.52,none,13.14
82,40.55,40.55,19.29,40.55,none,19.29
83,41.88,41.88,31.89,41.88,none,31.89
84,44.78,44.78,38.02,44.78,none,38.02
85,47.36,47.36,46.89,47.36,none,46.89
86,49.29,49.29,56.56,49.29,none,56.56
87,53.71,53.71,59.89,53.71,none,59.89
88,54.98,54.98,57.5,54.98,none,57.5
89,58.23,58.23,58.19,58.23,none,58.19
90,59.15,59.15,57.33,59.15,none,57.33
91,60.76,60.76,57.44,60.76,none,57.44
92,62.23,62.23,56.94,62.23,none,56.94
93,63.42,63.42,57.61,63.42,none,57.61
94,65.69,65.69,58.14,65.69,none,58.14
95,65.61,65.61,59.57,65.61,none,59.57
96,66.35,66.35,55.3,66.35,none,55.3
97,67.24,67.24,59.48,67.24,none,59.48
98,67.47,67.47,58.18,67.47,none,58.18
99,69.05,69.05,57.11,69.05,none,57.11
100,68.32,68.32,56.89,68.32,none,56.89
101,69.09,69.09,58.8,69.09,none,58.8
102,70.09,70.09,57.83,70.09,none,57.83
103,70.06,70.06,55.71,70.06,none,55.71
104,70.55,70.55,57.99,70.55,none,57.99
105,71.2,71.2,58.92,71.2,none,58.92
106,71.21,71.21,58.58,71.21,none,58.58
107,71.06,71.06,56.8,71.06,none,56.8
108,72.01,72.01,55.94,72.01,none,55.94
109,71.07,71.07,57.16,71.07,none,57.16
110,71.41,71.41,61.46,71.41,none,61.46
111,71.55,71.55,55.7,71.55,none,55.7
112,71.62,71.62,56.54,71.62,none,56.54
113,71.32,71.32,58.02,71.32,none,58.02
114,71.19,71.19,57.4,71.19,none,57.4
115,72.06,72.06,57.31,72.06,none,57.31
116,71.69,71.69,59.98,71.69,none,59.98
